Designator,Mid X,Mid Y,Rotation,Layer
A1,109.35,-82.39,0.0,top
A3,109.15,-110.81,0.0,top
C1,109.597349,-76.5,0.0,top
C2,109.3,-104.92,0.0,top
J1,97.0,-82.27,0.0,top
J10,121.3,-108.425,180.0,top
J11,96.5,-96.23,180.0,top
J12,121.5,-80.005,180.0,top
J13,124.0,-80.005,180.0,top
J14,123.8,-108.425,180.0,top
J15,112.19,-64.0,90.0,top
J16,101.5,-62.495,0.0,top
J2,109.0,-116.46,180.0,top
J3,111.5,-116.46,180.0,top
J4,124.0,-71.0,0.0,top
J5,96.8,-110.42,0.0,top
J6,109.0,-87.96,180.0,top
J7,111.5,-87.96,180.0,top
J8,112.19,-67.5,90.0,top
J9,124.0,-93.73,180.0,top
U1,93.45,-70.04,90.0,top
